Term	enrichment	FDR	Count
GO:0000902	3.996826174	36.213	125
GO:0120035	3.712977954	29.283	112
GO:0034330	4.091527264	29.283	99
GO:0050804	4.110797021	27.736	93
GO:0030029	3.54223064	24.295	98
GO:0044057	3.576555589	23.031	92
GO:0098609	3.575688475	22.252	89
GO:0060322	3.023251564	21.190	107
GO:0051056	4.542779081	20.454	62
hsa04020	4.69887738	18.666	55
GO:0090066	3.390562502	18.430	80
GO:0042391	3.586097782	18.093	73
hsa04015	5.043461721	17.884	49
GO:0007167	3.087833707	17.750	88
GO:0050807	4.606440448	17.228	52
GO:0061061	3.280072381	17.095	78
GO:0007610	3.042350068	16.907	86
hsa04725	6.694860692	16.596	35
GO:0035239	2.801333672	15.089	88
GO:0098657	2.759340759	15.062	90
